Assay,AD-S_1pg_vs_Ctrl-S_1pg,AD-S_5pg_vs_Ctrl-S_5pg,AD-S_10pg_vs_Ctrl-S_10pg,AD_20pg_vs_Ctrl-S_20pg,AD-S_40pg_vs_Ctrl-S_40pg,n_comparisons,tau protein
BGN,TRUE,TRUE,FALSE,TRUE,FALSE,3,FALSE
BLNK,TRUE,TRUE,FALSE,TRUE,TRUE,4,TRUE
BMP4,FALSE,FALSE,TRUE,FALSE,FALSE,1,FALSE
BMP6,TRUE,TRUE,FALSE,FALSE,FALSE,2,FALSE
BMP7,TRUE,TRUE,FALSE,TRUE,FALSE,3,FALSE
BNIP3L,FALSE,FALSE,FALSE,FALSE,TRUE,1,FALSE
BOC,TRUE,FALSE,FALSE,TRUE,TRUE,3,FALSE
BOLA2,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
BPIFA2,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
BRD2,TRUE,TRUE,TRUE,TRUE,TRUE,5,FALSE
BSG,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
BTC,TRUE,TRUE,TRUE,FALSE,TRUE,4,FALSE
BTLA,FALSE,TRUE,TRUE,TRUE,TRUE,4,FALSE
BTN1A1,FALSE,FALSE,FALSE,TRUE,TRUE,2,FALSE
BTN3A2,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
BTNL9,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
C16orf89,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
C1QA,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
C1QL2,FALSE,TRUE,TRUE,TRUE,FALSE,3,FALSE
C1QTNF6,FALSE,TRUE,FALSE,FALSE,TRUE,2,FALSE
C4BPB,FALSE,FALSE,TRUE,TRUE,TRUE,3,TRUE
C8orf34,FALSE,FALSE,TRUE,FALSE,FALSE,1,FALSE
C9orf40,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
CA12,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE
CA14,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
CA9,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE
CALCA,FALSE,TRUE,TRUE,TRUE,TRUE,4,FALSE
CALCB,TRUE,FALSE,FALSE,TRUE,FALSE,2,FALSE
CALCOCO1,FALSE,FALSE,TRUE,TRUE,TRUE,3,FALSE
CALCOCO2,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE
CALML4,TRUE,TRUE,TRUE,TRUE,TRUE,5,TRUE
CAMK4,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
CAMSAP1,TRUE,TRUE,TRUE,TRUE,TRUE,5,FALSE
CAPG,FALSE,TRUE,FALSE,FALSE,FALSE,1,FALSE
CAPN3,FALSE,FALSE,TRUE,FALSE,FALSE,1,FALSE
CAPS,FALSE,TRUE,TRUE,TRUE,TRUE,4,TRUE
CASP1,FALSE,TRUE,FALSE,FALSE,FALSE,1,FALSE
CASP10,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
CASP2,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE
CASP4,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
CASP7,FALSE,FALSE,TRUE,FALSE,FALSE,1,FALSE
CASP8,TRUE,TRUE,FALSE,FALSE,TRUE,3,FALSE
CASP9,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
CAST,FALSE,FALSE,FALSE,FALSE,TRUE,1,FALSE
CBLB,TRUE,TRUE,TRUE,TRUE,TRUE,5,FALSE
CBLN4,FALSE,TRUE,TRUE,TRUE,TRUE,4,FALSE
CBS,FALSE,FALSE,TRUE,FALSE,FALSE,1,FALSE
